Name,IGDB_Name,Aggregated_Rating,Age_Ratings_IDs
StarCraft II: Wings of Liberty,StarCraft II: Wings of Liberty,89.4,"[79009, 32067, 192436, 192437, 192438, 189916]"
Crash Team Racing,Crash Team Racing,83.8716245131068,"[8712, 76867, 135576]"
FIFA 17,FIFA 17,69.75802663351801,[128383]
Driver 2,Driver 2: Back on the Streets,50.0,[3615]
The Simpsons: Hit & Run,The Simpsons: Hit & Run,72.8,[65438]
Tony Hawk's Pro Skater 2,Tony Hawk's Pro Skater 2,,[]
Animal Crossing: City Folk,Animal Crossing: City Folk,69.6,"[12968, 116915, 47188, 116917, 116918, 116916, 44350]"
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,78.16969831700942,[57033]
Forza Motorsport 4,Forza Motorsport 4,85.71428571428571,"[190189, 27533, 67894]"
Tomb Raider,Tomb Raider,84.6,"[73090, 123886]"
Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,83.66666666666667,"[81762, 923]"
The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,100.0,"[112320, 49129, 90794, 210590, 82546, 189812, 49238, 29469, 112318, 112319]"
The Legend of Zelda: The Wind Waker,The Legend of Zelda: The Wind Waker,90.0,"[31938, 189871]"
Mario & Sonic at the Olympic Winter Games,Mario & Sonic at the Olympic Winter Games,74.0,"[47156, 661]"
Luigi's Mansion: Dark Moon,Luigi's Mansion: Dark Moon,81.25,"[48865, 188442, 4563, 99971]"
Splatoon,Splatoon,81.0,"[6600, 51277, 188978, 81309, 81310]"
Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,83.66666666666667,"[81762, 923]"
Madden NFL 2005,Madden NFL 2005,,[]
Pitfall!,Pitfall!,72.29523374907602,[]
Madden NFL 07,Madden NFL 07,80.2,"[55664, 69694, 2623]"
Spider-Man: The Movie,,,
Dragon Quest VII: Warriors of Eden,Dragon Warrior VII,80.40718477776119,"[6909, 75237, 75238]"
Uncharted: The Nathan Drake Collection,Uncharted: The Nathan Drake Collection,85.1,"[189266, 13324, 195461, 195462]"
God of War,God of War,96.23076923076923,"[23748, 63045, 63046, 62724, 63047, 47579, 187740]"
Nintendo Land,Nintendo Land,75.0,"[36306, 189363, 48854, 47386, 47387, 47388]"
Michael Jackson: The Experience,Michael Jackson: The Experience,,[]
Tony Hawk's Pro Skater 3,Tony Hawk's Pro Skater 3,,[]
Winning Eleven: Pro Evolution Soccer 2007,Winning Eleven: Pro Evolution Soccer 2007,88.0,[]
The Elder Scrolls IV: Oblivion,The Elder Scrolls IV: Oblivion,80.57142857142857,"[93298, 109016, 109017, 285, 35357]"
Zelda II: The Adventure of Link,Zelda II: The Adventure of Link,66.20984276218314,"[7635, 14180, 47485, 47183]"
Need for Speed: Most Wanted,Need for Speed: Most Wanted,82.8241885978364,[81563]
Resistance: Fall of Man,Resistance: Fall of Man,87.0,"[372, 29262, 168183]"
Sonic the Hedgehog,Sonic the Hedgehog,,[]
Kingdom Hearts II,Kingdom Hearts II,90.0,"[21317, 21318, 192430, 192431, 192432]"
Asteroids,Asteroids,,[]
Fable II,Fable II,85.83333333333333,"[91298, 107977, 34634, 92748, 167860, 188829]"
Halo 5: Guardians,Halo 5: Guardians,84.05263157894737,"[187768, 80069, 80070, 80071, 80072, 205784, 67359]"
Super Mario 3D World,Super Mario 3D World,93.92857142857143,"[47139, 112292, 112293, 112294, 112295, 112296, 112297, 12648, 96231, 189445, 196918, 196920, 189019]"
Batman: Arkham Asylum,Batman: Arkham Asylum,89.4,"[79793, 151782, 188630, 34054]"
Assassin's Creed: Revelations,Assassin's Creed Revelations,81.71428571428571,"[21383, 92841, 94569, 105495, 105496, 105497, 188987]"
Namco Museum,Namco Museum,,"[96904, 64874, 30189, 13847, 47006]"
Metal Gear Solid 3: Snake Eater,Metal Gear Solid 3: Snake Eater,85.5,"[165957, 90535, 6631, 75058, 90259]"
Daxter,Daxter,89.5,"[28649, 178244, 178245, 1374]"
Warcraft II: Tides of Darkness,Warcraft II: Tides of Darkness,92.5,"[65, 46302, 51263]"
FIFA Soccer 06,FIFA Soccer 06,,[]
EyeToy Play,EyeToy: Play,80.0,"[9781, 8406]"
Uncharted 4: A Thief's End,Uncharted 4: A Thief's End,93.24,"[168706, 188903, 192344, 192345, 192347, 192348, 10877]"
Gran Turismo 5 Prologue,Gran Turismo 5 Prologue,81.5,"[7344, 81577, 168114, 81603]"
Assassin's Creed: Revelations,Assassin's Creed Revelations,81.71428571428571,"[21383, 92841, 94569, 105495, 105496, 105497, 188987]"
Street Fighter IV,Street Fighter IV,89.77777777777777,"[80228, 126206, 91544, 126205, 29598, 29599]"
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,65.8470064339256,"[82697, 35251, 90548, 76222, 8959]"
Excitebike,Excitebike,71.46250107756104,"[47232, 15782, 47462, 15783]"
Frogger,Frogger,90.0,[8683]
Madden NFL 2003,Madden NFL 2003,,[]
Watch Dogs,Watch Dogs,81.0952380952381,"[86602, 86603, 86605, 69678, 32383, 125821, 190367]"
Half-Life,Half-Life,80.0,"[44931, 47659, 47660, 47661, 47662, 72086]"
Super Mario World 2: Yoshi's Island,Super Mario World 2: Yoshi's Island,100.0,"[50801, 30485, 48823]"
FIFA Soccer 07,FIFA Soccer 07,75.4,"[48086, 69951]"
